                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8014,                 1.8026,                 1.7275,                0.57655,                  0.492,                   0.58,                0.31347,                 1.7502,                  1.272,                 1.6471,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.6582,                 1.2522,                 1.5455,                0.60649,                0.59455,                0.60464,                0.32775,                 1.7306,                 1.1883,                 1.6343,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.6656,                  1.265,                 1.5278,                0.55305,                0.55419,                0.53643,                0.29603,                 1.7527,                 1.4077,                 1.6206,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.6784,                 1.2454,                 1.5377,                0.48345,                0.58197,                0.54909,                0.29894,                 1.7858,                  1.341,                 1.6001,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6682,                  1.228,                 1.5452,                0.58467,                0.58876,                0.60253,                0.33477,                 1.7636,                 1.1952,                  1.619,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6716,                 1.1948,                 1.5536,                 0.5464,                0.57929,                0.55548,                0.31083,                 1.7665,                 1.3005,                 1.6239,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6894,                 1.1819,                 1.5508,                 0.5769,                0.59472,                0.59893,                0.32471,                 1.7427,                 1.2308,                 1.6122,               0.009901,               0.009901,               0.009901
                      7,                 1.6519,                 1.1607,                 1.5209,                0.59974,                0.58718,                0.60378,                0.32482,                 1.7557,                 1.2019,                 1.6041,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6568,                 1.1532,                 1.5345,                0.61056,                0.61109,                0.63841,                0.34656,                 1.7727,                 1.1422,                 1.6144,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6432,                 1.1229,                 1.5031,                0.60773,                0.59856,                0.60722,                0.33105,                 1.7407,                 1.2013,                 1.5854,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6406,                 1.1284,                 1.5043,                0.59612,                 0.6104,                0.62206,                0.33981,                 1.7403,                 1.1364,                 1.5948,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6276,                 1.0995,                 1.5007,                0.61235,                0.61725,                0.62589,                0.34766,                 1.7286,                 1.1418,                 1.5844,               0.009802,               0.009802,               0.009802
                     12,                 1.6194,                 1.1063,                 1.4969,                0.62147,                  0.609,                0.63109,                0.34776,                 1.7442,                 1.1155,                 1.5989,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6207,                 1.0938,                    1.5,                0.63543,                0.61776,                0.63345,                0.34819,                 1.7462,                 1.1024,                  1.578,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.615,                 1.0787,                 1.4828,                0.62736,                0.63112,                0.63913,                0.35735,                 1.7299,                  1.115,                 1.5672,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5844,                 1.0599,                 1.4863,                0.64691,                0.62883,                0.64218,                0.35286,                 1.7447,                 1.0881,                 1.5974,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6178,                  1.062,                 1.5008,                0.63243,                0.60272,                 0.6389,                0.34782,                 1.7326,                 1.0922,                 1.5883,               0.009703,               0.009703,               0.009703
                     17,                 1.6022,                  1.049,                 1.4798,                0.59242,                0.62614,                0.63452,                0.34778,                 1.7342,                 1.1008,                 1.5882,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6083,                 1.0535,                 1.4858,                0.61648,                0.62262,                0.63605,                0.35091,                 1.7335,                 1.1081,                 1.5583,              0.0096634,              0.0096634,              0.0096634
                     19,                  1.596,                 1.0472,                  1.467,                0.63463,                0.62494,                0.63595,                0.34939,                 1.7416,                 1.1154,                 1.5808,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.5911,                 1.0406,                 1.4823,                0.65114,                0.64368,                0.64795,                0.35992,                  1.731,                  1.071,                 1.5705,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6198,                 1.0585,                 1.4924,                0.63802,                0.66187,                0.66131,                0.36124,                 1.7298,                 1.0676,                 1.5728,               0.009604,               0.009604,               0.009604
                     22,                 1.5666,                 1.0158,                 1.4784,                0.70898,                0.59766,                0.64575,                0.35604,                 1.7354,                 1.0877,                 1.5953,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5695,                 1.0048,                 1.4703,                0.65901,                0.64464,                0.64911,                0.35761,                 1.7411,                 1.0711,                 1.5915,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5647,                0.98553,                 1.4562,                0.61726,                0.61782,                0.62766,                0.34924,                 1.7246,                 1.0929,                 1.5748,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5731,                 1.0107,                 1.4466,                0.62654,                0.64823,                0.65023,                 0.3584,                 1.7304,                 1.0615,                 1.5669,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5871,                 1.0158,                 1.4615,                0.64876,                0.64998,                0.65825,                0.36061,                 1.7392,                 1.0553,                 1.5774,               0.009505,               0.009505,               0.009505
