                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8157,                 2.7045,                 1.7664,                0.37792,                0.46754,                0.40212,                0.21557,                 1.8041,                 2.1199,                 1.7713,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7141,                  1.875,                 1.6347,                0.46916,                0.52439,                0.51913,                0.27077,                 1.7955,                 1.8152,                 1.7049,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.7754,                 1.8028,                 1.6578,                0.51538,                0.42087,                0.43604,                0.22811,                 1.8276,                 2.0522,                 1.7172,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.7473,                 1.7061,                 1.6127,                0.63253,                0.47471,                0.54304,                0.28075,                 1.8336,                 1.6658,                 1.7426,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.7313,                 1.6028,                 1.6201,                0.63898,                0.47885,                0.55122,                0.28819,                  1.817,                 1.6041,                 1.7288,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7282,                 1.5593,                 1.6137,                0.54238,                0.52804,                0.54071,                0.28403,                 1.8229,                 1.7669,                 1.7178,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7356,                 1.5273,                 1.6289,                0.51894,                0.51226,                0.52014,                0.27273,                 1.8521,                 1.7487,                 1.7442,               0.009901,               0.009901,               0.009901
                      7,                 1.7157,                 1.4556,                 1.6127,                0.61788,                0.55893,                0.58146,                0.30696,                  1.799,                 1.4674,                 1.7151,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7257,                 1.4479,                 1.6243,                0.57421,                0.57461,                0.59576,                0.32863,                 1.7717,                 1.4257,                 1.6828,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6937,                 1.3951,                 1.6072,                0.59157,                0.56131,                0.58959,                0.31685,                 1.7871,                 1.4181,                 1.7007,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6884,                 1.3482,                 1.6006,                0.58968,                0.56943,                0.59366,                0.31642,                 1.7897,                 1.4292,                 1.7111,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6899,                 1.3687,                 1.6052,                0.58605,                0.59684,                0.61519,                0.33852,                 1.7654,                 1.3784,                 1.6962,               0.009802,               0.009802,               0.009802
                     12,                  1.682,                 1.3508,                 1.6157,                0.69671,                0.50741,                0.57343,                0.29859,                 1.7791,                  1.436,                 1.7372,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6654,                 1.3293,                 1.6002,                0.58688,                0.55855,                0.58708,                0.31628,                 1.7884,                 1.4252,                 1.7185,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.668,                 1.3135,                 1.6062,                0.64517,                 0.5928,                 0.6238,                0.33542,                   1.74,                 1.3129,                 1.6903,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6673,                 1.3026,                 1.6049,                 0.6333,                0.59856,                 0.6271,                0.33629,                 1.7746,                 1.2972,                 1.7153,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6801,                 1.2964,                 1.6166,                0.62269,                0.59635,                0.62464,                0.32511,                 1.7938,                 1.2928,                 1.7154,               0.009703,               0.009703,               0.009703
