                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8698,                 2.0792,                 1.7544,                0.69677,                0.46776,                0.52924,                0.28293,                 1.8114,                 1.4998,                  1.629,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7048,                 1.3757,                  1.523,                0.69681,                0.51904,                0.59699,                0.32507,                 1.7599,                 1.2318,                 1.5136,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.6916,                  1.312,                 1.4747,                0.58542,                0.56056,                0.57665,                0.32089,                 1.7488,                 1.3152,                 1.4999,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.6805,                 1.2556,                 1.4611,                0.47993,                0.56854,                 0.5045,                0.26541,                 1.8221,                 1.4659,                 1.5003,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6731,                 1.2453,                 1.4759,                0.61669,                0.57551,                0.60793,                0.32743,                 1.7437,                 1.2162,                 1.4887,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6784,                 1.2117,                   1.48,                0.59935,                 0.5803,                0.60262,                0.32737,                 1.7934,                 1.2268,                 1.5222,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7011,                 1.2169,                 1.4803,                0.75111,                0.50052,                0.58551,                0.31387,                 1.7537,                 1.2862,                 1.5073,               0.009901,               0.009901,               0.009901
                      7,                 1.6615,                 1.1763,                 1.4524,                0.60017,                0.58938,                0.61021,                0.33048,                 1.7452,                 1.1732,                 1.4984,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6658,                 1.1756,                 1.4628,                0.64685,                0.57413,                0.61585,                0.33466,                 1.7578,                   1.19,                  1.521,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6556,                 1.1447,                 1.4551,                0.60795,                0.58821,                0.60834,                0.33322,                 1.7505,                 1.1861,                 1.5183,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6561,                 1.1495,                 1.4644,                0.58028,                0.58052,                0.59317,                0.31937,                 1.7414,                 1.2078,                 1.5332,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6449,                 1.1222,                 1.4481,                0.61393,                0.61435,                0.62442,                0.33956,                  1.746,                 1.1609,                 1.4994,               0.009802,               0.009802,               0.009802
                     12,                  1.645,                 1.1344,                 1.4507,                0.60597,                0.59323,                0.61709,                0.33652,                 1.7464,                 1.1401,                 1.5322,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6367,                 1.1179,                 1.4521,                0.63704,                0.60015,                0.62493,                0.34644,                 1.7423,                 1.1374,                 1.5152,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6273,                 1.1119,                 1.4479,                  0.639,                0.62456,                0.64126,                0.35186,                 1.7291,                 1.1295,                 1.4881,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6073,                 1.0807,                 1.4351,                0.61257,                0.60451,                0.61869,                0.33441,                 1.7418,                  1.138,                 1.5226,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6274,                  1.086,                 1.4496,                0.62385,                0.61765,                0.64008,                0.34876,                  1.744,                 1.0967,                 1.5256,               0.009703,               0.009703,               0.009703
                     17,                  1.615,                 1.0745,                 1.4342,                0.60571,                 0.6249,                0.63095,                0.34962,                 1.7357,                 1.0941,                 1.5003,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6347,                 1.0853,                 1.4384,                0.60792,                0.60994,                0.62454,                0.34174,                 1.7338,                 1.1385,                 1.5122,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6184,                  1.089,                 1.4326,                 0.6351,                0.61239,                0.62216,                0.34247,                 1.7387,                 1.1423,                 1.5019,              0.0096436,              0.0096436,              0.0096436
