                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9583,                 3.3103,                 1.2451,                0.81615,                0.21224,                0.21127,                0.13458,                  1.865,                 2.1008,                 1.0768,               0.070216,              0.0033094,              0.0033094
                      1,                 1.9076,                 1.6256,                 1.0971,                0.38182,                0.39496,                0.35373,                0.21653,                 1.9066,                 1.4079,                 1.0634,               0.040084,              0.0065112,              0.0065112
                      2,                 1.9664,                  1.325,                 1.0916,                0.36287,                0.39414,                0.37729,                0.22469,                  1.872,                 1.7225,                 1.0787,              0.0098208,               0.009581,               0.009581
                      3,                 1.9229,                 1.2406,                 1.0839,                0.50978,                0.33202,                0.36185,                0.22069,                 1.8692,                 1.4169,                 1.0493,               0.009406,               0.009406,               0.009406
                      4,                 1.8775,                 1.1754,                 1.0787,                 0.4033,                0.39142,                0.37133,                 0.2268,                 1.8081,                 1.3305,                 1.0321,               0.009406,               0.009406,               0.009406
                      5,                 1.8135,                  1.122,                 1.0589,                0.56914,                0.42305,                0.45871,                0.29058,                 1.7055,                  1.261,                 1.0131,               0.009208,               0.009208,               0.009208
                      6,                 1.7839,                 1.0918,                 1.0432,                 0.4389,                0.43262,                0.43377,                0.28112,                 1.7935,                 1.3972,                 1.0277,                0.00901,                0.00901,                0.00901
                      7,                 1.7808,                 1.0784,                 1.0442,                0.62042,                0.47858,                0.50625,                0.33487,                 1.7074,                 1.0775,                  1.007,               0.008812,               0.008812,               0.008812
                      8,                 1.7343,                 1.0394,                  1.035,                0.62653,                 0.5013,                0.51641,                 0.3418,                 1.7062,                 1.0241,                  0.995,               0.008614,               0.008614,               0.008614
                      9,                 1.7645,                 1.0353,                 1.0321,                0.81062,                0.47791,                0.52001,                0.34214,                 1.6811,                 1.0092,                0.99666,               0.008416,               0.008416,               0.008416
                     10,                 1.7328,                 1.0215,                 1.0335,                0.53148,                0.49482,                0.51218,                0.31547,                 1.7645,                 1.0501,                 1.0259,               0.008218,               0.008218,               0.008218
                     11,                 1.7085,                 1.0075,                   1.02,                0.84727,                0.50236,                 0.5294,                0.34858,                 1.6892,                0.95601,                0.98582,                0.00802,                0.00802,                0.00802
                     12,                 1.7094,                0.99526,                 1.0154,                0.85558,                0.50572,                0.52999,                0.34753,                  1.643,                0.98337,                0.97685,               0.007822,               0.007822,               0.007822
                     13,                 1.6776,                0.96712,                 1.0183,                 0.6313,                0.51495,                0.53539,                0.35254,                 1.6508,                0.95316,                0.97413,               0.007624,               0.007624,               0.007624
