                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7881,                  1.911,                 1.7745,                0.55345,                0.58191,                0.57471,                 0.3129,                 1.7487,                 1.3127,                 1.7635,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.6505,                 1.3147,                  1.616,                0.57786,                0.57343,                0.58875,                 0.3219,                 1.7236,                 1.2512,                 1.6978,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.6625,                 1.2926,                 1.5864,                0.53615,                0.56437,                0.52815,                0.29404,                 1.7478,                 1.4804,                 1.6948,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.6711,                 1.2601,                 1.5906,                0.72358,                0.50941,                0.59686,                0.32255,                 1.7857,                 1.2886,                 1.6571,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6641,                  1.228,                  1.594,                0.67703,                 0.5019,                0.58107,                0.31276,                 1.7688,                 1.3116,                 1.6775,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6739,                 1.1933,                 1.5915,                0.62868,                0.58018,                0.60677,                0.33263,                 1.7864,                 1.1888,                 1.6583,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6916,                 1.1877,                 1.5927,                 0.7104,                0.51127,                0.57815,                0.31849,                 1.7784,                   1.31,                 1.6808,               0.009901,               0.009901,               0.009901
                      7,                 1.6637,                 1.1515,                 1.5853,                0.59167,                0.59771,                0.61497,                0.33471,                 1.7572,                 1.1575,                 1.6808,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6668,                 1.1359,                 1.5981,                0.64741,                0.59265,                0.63137,                0.34129,                 1.7574,                 1.1375,                 1.6643,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6536,                 1.1277,                 1.5594,                0.60298,                0.60201,                0.60674,                0.33842,                 1.7426,                 1.1863,                 1.6289,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.646,                 1.1246,                 1.5509,                0.57998,                0.59478,                  0.612,                0.33606,                 1.7446,                 1.1549,                 1.6352,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6334,                  1.091,                 1.5381,                0.61173,                 0.6078,                0.61946,                 0.3383,                 1.7537,                 1.1703,                 1.6401,               0.009802,               0.009802,               0.009802
                     12,                 1.6317,                 1.0985,                 1.5474,                 0.6251,                 0.6122,                0.63079,                0.34589,                 1.7499,                 1.1015,                 1.6547,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6251,                 1.0868,                 1.5555,                0.63384,                0.62034,                0.63468,                0.34452,                 1.7528,                 1.0905,                 1.6553,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.612,                 1.0761,                 1.5517,                0.64109,                0.60939,                0.63081,                0.34496,                   1.74,                 1.1385,                 1.6581,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5893,                 1.0516,                 1.5549,                0.64161,                0.62407,                0.63402,                0.34586,                 1.7268,                 1.1141,                 1.6644,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6121,                  1.052,                 1.5597,                0.61981,                0.61428,                0.63414,                0.35199,                 1.7358,                 1.0772,                 1.6766,               0.009703,               0.009703,               0.009703
                     17,                 1.5963,                 1.0451,                 1.5433,                    0.6,                0.63009,                0.63695,                0.34366,                 1.7391,                 1.0923,                 1.6627,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6125,                 1.0491,                 1.5538,                0.62554,                0.62668,                0.63939,                0.35018,                 1.7343,                 1.0958,                 1.6494,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6016,                 1.0416,                 1.5435,                0.64605,                0.63402,                0.64677,                0.35288,                 1.7408,                 1.0591,                 1.6674,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.591,                 1.0345,                  1.556,                0.64226,                0.62822,                0.63754,                0.35593,                 1.7441,                 1.0891,                 1.6757,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6236,                 1.0592,                 1.5614,                0.62515,                 0.6486,                 0.6508,                0.36027,                 1.7421,                 1.0611,                 1.6483,               0.009604,               0.009604,               0.009604
                     22,                 1.5676,                 1.0052,                 1.5423,                0.69481,                0.59789,                0.64869,                0.35956,                 1.7151,                 1.0697,                 1.6562,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5669,                0.99192,                 1.5263,                0.66146,                0.63792,                0.65484,                0.36191,                  1.744,                 1.0405,                 1.6731,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5667,                0.97454,                 1.5245,                0.63734,                0.62094,                0.62745,                 0.3515,                 1.7409,                   1.07,                 1.6793,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5783,                 1.0087,                 1.5147,                 0.6342,                0.63476,                0.64499,                0.35972,                 1.7491,                 1.0514,                 1.6697,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5817,                0.99975,                 1.5257,                0.64852,                0.65114,                0.65788,                0.36371,                 1.7321,                 1.0304,                  1.655,               0.009505,               0.009505,               0.009505
                     27,                 1.5392,                0.96419,                 1.5067,                0.64784,                0.65195,                0.65168,                0.36271,                 1.7354,                 1.0567,                 1.6487,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5838,                 0.9835,                  1.523,                0.63272,                 0.6288,                0.65167,                0.36184,                 1.7404,                 1.0386,                 1.6579,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5383,                 0.9623,                 1.5119,                0.64073,                0.63845,                0.65171,                0.36068,                 1.7478,                 1.0299,                 1.6827,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5391,                0.96644,                 1.5053,                0.65781,                0.65633,                0.65126,                 0.3546,                 1.7518,                 1.0621,                 1.6639,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5416,                 0.9586,                 1.5181,                0.64253,                0.63996,                0.64633,                0.35907,                 1.7568,                 1.0753,                 1.6783,               0.009406,               0.009406,               0.009406
                     32,                 1.5346,                0.94768,                 1.5233,                0.63491,                0.63039,                0.64866,                0.35434,                 1.7344,                 1.0328,                 1.6699,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5472,                0.95191,                 1.5063,                 0.6396,                0.63943,                0.65072,                0.35819,                 1.7606,                 1.0357,                 1.7048,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5248,                0.94367,                 1.5216,                0.65106,                0.65849,                0.66602,                  0.366,                 1.7304,                   1.03,                 1.6865,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5472,                0.94423,                 1.5171,                0.65226,                0.64458,                 0.6549,                0.36351,                  1.754,                 1.0379,                 1.6862,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5428,                0.95444,                 1.5234,                0.66038,                0.64773,                0.65662,                0.36481,                 1.7366,                 1.0384,                 1.6746,               0.009307,               0.009307,               0.009307
                     37,                 1.5145,                0.94711,                  1.504,                0.65235,                0.65613,                0.66823,                0.36481,                 1.7435,                 1.0216,                 1.6712,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5052,                0.92664,                 1.4797,                0.65789,                0.65629,                0.66502,                0.36578,                 1.7496,                 1.0071,                 1.6834,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.516,                0.93738,                 1.4986,                0.64831,                0.65926,                0.66982,                0.36815,                 1.7509,                 1.0035,                 1.6881,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5307,                0.94086,                 1.5098,                0.65177,                0.66861,                0.66893,                 0.3695,                 1.7679,                  1.006,                 1.6962,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4927,                0.91772,                 1.5029,                0.65331,                0.65124,                0.65395,                0.36364,                 1.7595,                 1.0297,                 1.7134,               0.009208,               0.009208,               0.009208
                     42,                 1.5013,                0.91651,                 1.5204,                0.67115,                0.65119,                0.66026,                0.36624,                 1.7604,                 1.0023,                 1.7047,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4929,                 0.8997,                 1.4931,                0.66422,                0.64398,                0.66928,                 0.3635,                 1.7646,                0.99343,                 1.6989,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4949,                 0.9142,                 1.5043,                0.66192,                0.65899,                0.65709,                 0.3595,                 1.7643,                 1.0229,                 1.6922,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5004,                 0.9073,                 1.4768,                0.69369,                0.64971,                0.65751,                0.36184,                 1.7857,                  1.045,                 1.7068,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4666,                0.89558,                 1.4882,                0.66755,                0.64633,                0.66345,                0.36538,                 1.7674,                 1.0344,                 1.7153,               0.009109,               0.009109,               0.009109
                     47,                 1.4656,                0.87838,                 1.4897,                0.67471,                 0.6466,                0.66453,                0.36308,                 1.7836,                 1.0118,                 1.7113,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4916,                0.89174,                 1.4897,                0.66578,                0.64033,                 0.6508,                0.36002,                 1.7627,                 1.0602,                 1.6991,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4633,                0.88746,                 1.4852,                0.63528,                0.66841,                0.67066,                0.36738,                 1.7824,                 1.0074,                 1.7154,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4707,                0.88899,                 1.4678,                0.68202,                0.66518,                0.66837,                0.36768,                 1.7754,                  1.008,                 1.7119,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4712,                0.89192,                 1.4688,                0.65192,                0.67011,                0.66309,                0.36126,                 1.7832,                 1.0283,                 1.7184,                0.00901,                0.00901,                0.00901
                     52,                 1.4555,                0.87272,                 1.4641,                0.66081,                0.64644,                0.66727,                0.36627,                 1.7721,                0.99939,                 1.6991,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4471,                 0.8569,                 1.4584,                0.66568,                0.67025,                0.66596,                0.36529,                 1.7847,                 1.0006,                 1.7231,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.4601,                0.88251,                 1.4584,                0.65393,                0.66172,                0.66493,                0.36029,                  1.795,                0.99284,                 1.7202,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.435,                0.86818,                 1.4562,                0.64266,                0.68048,                0.67103,                0.36714,                 1.7903,                0.99542,                 1.7321,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.4593,                0.86046,                  1.456,                0.67757,                0.67107,                0.66478,                0.35968,                 1.7985,                 1.0126,                 1.7186,               0.008911,               0.008911,               0.008911
                     57,                 1.4613,                0.87662,                 1.4508,                 0.6799,                0.64216,                0.66941,                0.36355,                 1.7963,                0.99385,                  1.706,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.4415,                0.85881,                  1.443,                0.64967,                0.66983,                 0.6607,                0.35989,                  1.793,                 1.0069,                 1.7117,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.4287,                0.86453,                 1.4451,                0.66776,                0.66489,                 0.6619,                0.36189,                 1.8084,                 1.0305,                 1.7431,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4165,                0.84834,                 1.4415,                0.66302,                0.67229,                0.66883,                0.36845,                  1.805,                0.98265,                 1.7478,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.4438,                0.86431,                 1.4316,                 0.6491,                0.65916,                0.66148,                0.35679,                 1.7857,                 1.0061,                  1.708,               0.008812,               0.008812,               0.008812
                     62,                 1.4182,                0.83922,                 1.4157,                0.66525,                0.66521,                0.66576,                0.36268,                 1.8025,                0.99059,                 1.7237,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.4223,                0.84436,                 1.4348,                 0.6563,                0.67138,                0.66549,                0.36109,                 1.8126,                 1.0004,                 1.7441,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.4068,                 0.8407,                 1.4289,                0.66825,                0.66372,                0.66115,                0.36156,                 1.8047,                 1.0149,                 1.7438,              0.0087526,              0.0087526,              0.0087526
