                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9115,                 2.2183,                 1.9434,                0.50996,                0.51013,                0.49383,                0.25815,                 1.8485,                 1.6523,                 1.8607,              0.0033081,              0.0033081,              0.0033081
                      1,                 1.7347,                 1.4473,                  1.646,                0.59066,                0.54631,                0.56676,                0.29954,                 1.8161,                 1.3671,                 1.6997,              0.0066283,              0.0066283,              0.0066283
                      2,                 1.7196,                 1.4152,                 1.5924,                 0.5007,                0.55898,                0.51842,                0.28043,                 1.7879,                 1.6163,                  1.694,              0.0099352,              0.0099352,              0.0099352
                      3,                 1.7028,                 1.3596,                 1.6068,                0.69818,                0.52946,                0.60168,                0.32591,                 1.7975,                  1.319,                 1.7114,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6991,                 1.3348,                 1.6269,                0.55806,                0.57112,                0.57996,                0.31763,                 1.8062,                 1.4392,                 1.6958,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6982,                 1.3074,                 1.6295,                0.57731,                0.59523,                0.60021,                0.31915,                 1.8185,                 1.3815,                 1.7223,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7244,                  1.295,                  1.629,                0.74018,                0.50017,                0.58285,                0.31077,                 1.8034,                 1.4641,                 1.7126,               0.009901,               0.009901,               0.009901
                      7,                   1.69,                 1.2576,                 1.6027,                0.57704,                0.60207,                0.61839,                0.33412,                 1.7719,                 1.2741,                 1.7312,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6795,                 1.2596,                 1.6299,                0.68649,                0.55713,                0.60866,                0.33458,                 1.7847,                 1.2885,                 1.7099,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6771,                 1.2433,                 1.5972,                0.59384,                 0.5923,                0.61118,                0.33153,                 1.7728,                 1.3122,                 1.6867,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6629,                 1.2325,                 1.6019,                  0.565,                0.60908,                0.61508,                0.32364,                 1.7671,                 1.2645,                 1.6931,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6635,                 1.2172,                 1.5874,                0.60109,                0.59773,                0.61742,                0.33654,                 1.7643,                 1.3225,                 1.6981,               0.009802,               0.009802,               0.009802
                     12,                 1.6516,                  1.224,                 1.5749,                0.64126,                0.58996,                0.63233,                  0.347,                 1.7585,                 1.2161,                 1.6924,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6519,                  1.202,                 1.6006,                0.63626,                0.62271,                0.64125,                0.34322,                 1.7828,                 1.2229,                 1.7157,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6403,                 1.1783,                 1.5753,                0.57667,                0.60828,                 0.6094,                0.33212,                 1.7653,                 1.3104,                 1.6997,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6213,                 1.1656,                 1.5888,                 0.6006,                0.59624,                0.61038,                0.33132,                 1.7681,                 1.2939,                 1.6935,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6389,                 1.1676,                 1.5769,                 0.6122,                0.63001,                0.64419,                0.35039,                 1.7546,                 1.1889,                 1.6828,               0.009703,               0.009703,               0.009703
                     17,                 1.6243,                  1.153,                 1.5471,                0.62766,                0.64288,                0.64626,                0.35314,                 1.7506,                 1.1768,                   1.69,              0.0096832,              0.0096832,              0.0096832
                     18,                   1.64,                  1.167,                  1.578,                0.60531,                0.63584,                0.64541,                0.35128,                 1.7491,                 1.1872,                 1.6945,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6222,                 1.1583,                 1.5621,                0.62964,                0.62743,                0.63905,                0.33879,                 1.7575,                 1.1859,                 1.6926,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6148,                 1.1501,                 1.5628,                0.63406,                0.64722,                0.64748,                0.35796,                 1.7532,                 1.1767,                 1.6692,              0.0096238,              0.0096238,              0.0096238
                     21,                  1.648,                 1.1705,                 1.5746,                   0.62,                0.63542,                0.64825,                0.35502,                 1.7541,                 1.1955,                 1.6612,               0.009604,               0.009604,               0.009604
                     22,                 1.5971,                 1.1172,                 1.5576,                0.65821,                0.60345,                0.64305,                0.35788,                 1.7361,                 1.1824,                 1.6862,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5988,                 1.1018,                 1.5634,                0.63976,                0.63087,                0.64613,                0.34984,                 1.7601,                  1.182,                 1.6887,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5981,                 1.0872,                 1.5338,                  0.637,                0.64103,                0.64558,                 0.3581,                 1.7497,                 1.1616,                  1.686,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.6126,                 1.1226,                 1.5445,                0.61689,                0.63732,                0.65207,                0.35892,                 1.7533,                  1.163,                 1.6981,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.6213,                 1.1176,                 1.5532,                  0.652,                0.63998,                0.65282,                0.36186,                 1.7487,                 1.1488,                 1.6749,               0.009505,               0.009505,               0.009505
                     27,                 1.5838,                 1.0798,                 1.5356,                0.64963,                0.62908,                0.65291,                0.35511,                 1.7537,                 1.1816,                 1.6809,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.6181,                 1.1041,                 1.5512,                0.64662,                0.63021,                0.65176,                0.35839,                 1.7578,                 1.1619,                 1.6908,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5731,                  1.072,                 1.5308,                0.64748,                 0.6433,                0.66131,                0.36382,                 1.7532,                 1.1312,                 1.6878,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5784,                 1.0831,                 1.5343,                0.65202,                0.64176,                0.65539,                0.35754,                 1.7709,                 1.1634,                  1.686,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5877,                  1.061,                 1.5343,                0.63113,                0.64818,                0.65352,                0.36076,                 1.7516,                 1.1474,                 1.6801,               0.009406,               0.009406,               0.009406
                     32,                 1.5763,                 1.0627,                  1.534,                0.63414,                0.62613,                0.64908,                0.35813,                 1.7516,                 1.1588,                 1.6909,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5906,                 1.0739,                 1.5256,                0.66351,                0.62622,                0.64929,                0.35371,                 1.7711,                 1.1721,                  1.723,              0.0093664,              0.0093664,              0.0093664
